time,latitude,longitude,depth_km,magnitude,magnitude_type,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp
2008-12-19T16:48:50.200000Z,-32.61,-71.99,12.6,5.17,Mwc,4.93e+16,5710000000000000.0,-5.5e+16,-820000000000000.0,-4.97e+16,4350000000000000.0
2009-09-25T15:47:23.800000Z,-32.11,-71.61,47.5,5.08,Mwc,1.3e+16,-810000000000000.0,-1.22e+16,-7460000000000000.0,-2.54e+16,4.32e+16
2009-10-28T06:20:02.800000Z,-32.74,-71.76,10.0,4.99,Mwc,3.88e+16,-2590000000000000.0,-3.62e+16,1160000000000000.0,2980000000000000.0,8360000000000000.0
2009-10-30T02:53:39.700000Z,-32.8,-71.93,19.8,4.95,Mwc,3.18e+16,-1900000000000000.0,-2.99e+16,8380000000000000.0,1520000000000000.0,8300000000000000.0
2010-02-27T19:00:06.900000Z,-33.42,-71.83,31.1,6.23,Mwc,2.42e+18,-3.43e+17,-2.08e+18,2.61e+17,-1.7e+18,9000000000000000.0
2010-03-03T06:16:22.800000Z,-33.68,-72.04,35.0,5.19,Mwc,5.15e+16,2870000000000000.0,-5.44e+16,2070000000000000.0,-5.43e+16,-4330000000000000.0
2010-03-03T19:58:30.000000Z,-33.41,-71.87,38.8,5.78,Mwc,3.37e+17,2200000000000000.0,-3.39e+17,1.81e+16,-4.91e+17,-1600000000000000.0
2010-03-04T01:59:48.700000Z,-33.22,-72.12,24.2,6.02,Mwc,8.33e+17,-1.2e+16,-8.21e+17,-4e+16,-1.06e+18,-9.4e+16
2010-03-07T04:46:31.700000Z,-33.17,-72.06,18.8,5.09,Mwc,4.3e+16,-1390000000000000.0,-4.17e+16,-2080000000000000.0,-3.31e+16,-4210000000000000.0
2010-03-08T17:50:45.800000Z,-32.6,-71.64,23.8,5.3,Mwc,9.06e+16,-3300000000000000.0,-8.73e+16,3.22e+16,-5.92e+16,1.57e+16
2010-03-08T18:08:01.800000Z,-32.61,-71.61,22.4,5.27,Mwc,8.04e+16,-600000000000000.0,-7.98e+16,5300000000000000.0,-6.19e+16,8700000000000000.0
